Indikator,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
PARTISIPASI PENDIDIKAN FORMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angka Partisipasi Sekolah (APS) 7-12 th,94.06,93.94,94.43,95.37,95.06,95.34,95.5,95.61,96.1,96.42,96.77,97.14,97.39,97.6,97.83,97.95,97.97,97.53,97.94,98.34,98.83,98.57,98.98,99.08,99.11,99.17,99.21,99.12,99.01,99.12
Angka Partisipasi Sekolah (APS) 13-15 th,72.39,73.2,75.84,77.51,77.16,79.04,79.58,79.35,79.21,81.01,83.49,84.02,84.08,84.26,84.41,85.43,86.11,87.79,89.61,90.62,94.32,94.25,94.79,94.98,95.23,95.43,95.52,95.85,95.81,95.99
Angka Partisipasi Sekolah (APS) 16-18 th,45.31,44.65,47.59,48.64,49.28,51.14,51.17,49.18,49.76,50.97,53.48,53.86,53.92,54.61,54.7,55.05,55.83,57.69,61.3,63.64,70.13,70.26,70.68,71.2,71.82,71.92,71.44,70.74,72.88,73.07
Angka Partisipasi Sekolah (APS) 19-24 th,12.8,11.53,11.96,11.64,12.1,12.7,12.31,11.81,11.62,11.71,12.07,12.23,11.38,12.2,12.43,12.66,13.67,14.47,15.94,20.04,22.74,22.77,23.8,24.67,24.29,23.28,22.53,23.28,24.6,24.99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angka Partisipasi Kasar (APK) SD/MI,107.13,107,107.19,108.04,107.6,108.1,107.68,107.21,105.99,105.82,107.13,106.63,109.96,110.35,109.41,110.35,111.63,102.42,104.23,107.63,108.78,109.94,109.2,108.43,108.48,107.36,105.97,105.79,106.14,105.28
Angka Partisipasi Kasar (APK) SMP/MTs,64.36,65.65,70.46,74.18,73.14,76.08,77.62,78.1,79.81,81.09,82.24,82.09,81.87,82.03,81.38,81.09,80.35,89.37,89.29,85.69,88.43,90.63,89.98,90,91.23,90.2,88.94,85.86,87.76,91.25
Angka Partisipasi Kasar (APK) SM/MA,43.04,42.43,44.87,46.57,47.17,48.37,50.22,46.47,48,50.89,54.38,55.21,56.69,56.71,57.42,62.37,62.53,64.1,68.45,66.27,73.95,77.39,80.44,82.25,80.11,79.94,78.61,80.17,80.17,81.68
Angka Partisipasi Kasar (APK) PT 19-24 th,10.14,9.55,10.37,9.69,10.64,10.67,10.26,10.36,10.54,10.84,10.73,11.06,12.16,13.31,14.42,14.59,16.35,18.06,18.85,23.06,25.76,20.89,23.44,25,25.12,25.13,25.5,26.09,26.3,26.92
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angka Partisipasi Murni (APM) SD/MI,92.11,91.45,91.46,92.34,92.09,92.7,92.28,92.88,92.7,92.55,93.04,93.25,93.54,93.75,93.99,94.37,94.72,90.98,92.47,95.52,96.37,96.2,96.71,97.14,97.48,97.58,97.65,97.72,97.78,97.86
Angka Partisipasi Murni (APM) SMP/MTs,50.03,50.96,54.53,57.84,56.96,59.23,60.27,60.47,61.64,63.49,65.24,65.37,66.52,66.64,66.98,67.4,67.62,68.22,70.82,73.73,77.43,77.45,77.89,78.3,78.75,79.35,80.02,80.47,80.82,81.28
Angka Partisipasi Murni (APM) SM/MA,33.22,32.6,34.8,36.61,37.23,38.49,39.33,37.13,38.11,40.56,42.96,43.5,43.77,44.56,44.75,45.06,45.48,47.93,51.77,54.12,59.24,59.46,59.85,60.19,60.53,60.7,61.03,61.47,61.73,62.36
Angka Partisipasi Murni (APM) PT 19-24 th,7.92,7.15,7.68,7.68,8.04,8.23,7.95,7.99,8.09,8.55,8.57,8.71,8.87,9.64,10.07,10.3,11.01,12.56,13.48,18.08,20.18,17.34,17.91,18.62,18.59,18.85,19.32,19.59,20.84,20.63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARTISIPASI PENDIDIKAN FORMAL DAN NONFORMAL**),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angka Partisipasi Sekolah (APS) 7-12 th, * , * , * , * , * , * , * , * , * , * , * , * , * ,97.64,97.88,97.95,98.02,97.62,98.02,98.42,98.92,99.09,99.09,99.14,99.22,99.24,99.26,99.19,99.1,99.16
Angka Partisipasi Sekolah (APS) 13-15 th, * , * , * , * , * , * , * , * , * , * , * , * , * ,84.65,84.89,85.47,86.24,87.99,89.76,90.81,94.44,94.72,94.88,95.08,95.36,95.51,95.74,95.99,95.92,96.1
Angka Partisipasi Sekolah (APS) 16-18 th, * , * , * , * , * , * , * , * , * , * , * , * , * ,55.49,55.5,55.16,56.01,57.95,61.49,63.84,70.31,70.61,70.83,71.42,71.99,72.36,72.72,73.09,73.15,73.42
